YYYY-MM-DDTHH:MM:SS.S (UTC),Preferred Latitude,Preferred Longitude,Depth (km),Method,Magnitude,Strike,Dip,Rake,Err
2019-05-01T06:36:42.858622Z,-42.877995,171.391306,5.241,NonLinLoc,1.04,NA,NA,NA,NA
2019-05-02T03:19:19.070000Z,-42.652905,171.896908,9.666,HypoDD,1.7,198.7306,81.23578,38.45389,29.3317720108434
2019-05-02T04:18:50.960000Z,-42.782442,171.490771,6.958,HypoDD,0.83,178.3494,81.1329,-43.3038,29.9540838239177
2019-05-02T22:23:20.720000Z,-42.963208,171.449072,8.594,HypoDD,0.91,NA,NA,NA,NA
2019-05-03T07:26:57.020000Z,-42.769706,171.673324,7.709,HypoDD,0.28,NA,NA,NA,NA
2019-05-03T15:42:08.330734Z,-42.70793,171.582191,1.339,NonLinLoc,0.26,NA,NA,NA,NA
2019-05-03T16:28:58.610000Z,-42.942273,171.471273,9.442,HypoDD,0.45,NA,NA,NA,NA
2019-05-03T18:50:46.880000Z,-42.604403,171.835758,8.901,HypoDD,0.85,NA,NA,NA,NA
2019-05-03T22:22:44.100000Z,-42.652344,171.87902,12.106,HypoDD,1.94,188.155,67.4506,-7.60494,28.3419344006987
2019-05-04T15:18:13.950000Z,-42.649011,171.962565,11.561,HypoDD,1.28,NA,NA,NA,NA
2019-05-04T17:58:39.980000Z,-42.890828,171.398926,10.762,HypoDD,1.47,269.852,85.90956,93.5361,31.6791861878168
2019-05-04T23:03:20.560000Z,-42.701412,171.679915,9.954,HypoDD,0.11,NA,NA,NA,NA
2019-05-05T06:53:23.080000Z,-42.92395,171.704134,6.125,HypoDD,1.23,214.5747,79.02106,-162.191,31.8182767782701
2019-05-05T06:53:23.350000Z,-42.923934,171.704134,6.141,HypoDD,1.1,NA,NA,NA,NA
2019-05-05T07:10:27.790000Z,-42.919637,171.649284,7.082,HypoDD,0.32,NA,NA,NA,NA
2019-05-05T12:50:36.870000Z,-42.763647,171.666634,7.467,HypoDD,-0.13,NA,NA,NA,NA
2019-05-05T13:53:04.830000Z,-42.76637,171.669759,7.233,HypoDD,0.26,NA,NA,NA,NA
2019-05-05T15:07:11.060000Z,-42.76497,171.670752,6.528,HypoDD,0.32,NA,NA,NA,NA
2019-05-05T20:06:13.980000Z,-42.765137,171.683008,2.776,HypoDD,0.04,NA,NA,NA,NA
2019-05-06T01:07:16.890000Z,-42.769116,171.39707,10.226,HypoDD,0.39,NA,NA,NA,NA
2019-05-06T05:04:20.574758Z,-42.750328,171.756913,6.975,NonLinLoc,0.31,NA,NA,NA,NA
2019-05-06T12:32:27.250000Z,-42.631246,171.809928,9.684,HypoDD,0.55,94.09851,46.30217,167.6528,30.3634193912443
2019-05-06T15:49:46.660000Z,-42.73693,171.76582,6.026,HypoDD,0.18,NA,NA,NA,NA
2019-05-06T20:30:25.000000Z,-42.867546,171.611654,8.667,HypoDD,1.37,232.2682,70.81748,146.4619,27.1122016168189
2019-05-06T22:14:57.845679Z,-42.742095,171.583503,-0.743,NonLinLoc,0.29,NA,NA,NA,NA
2019-05-07T06:39:54.390000Z,-42.911084,171.788721,6.179,HypoDD,0.82,NA,NA,NA,NA
2019-05-07T11:44:12.890000Z,-42.83361,171.85293,7.305,HypoDD,1.3,234.2191,80.47925,-139.725,29.3438268267391
2019-05-07T13:47:47.040000Z,-42.781824,171.60944,7.13,HypoDD,0.45,NA,NA,NA,NA
2019-05-07T14:10:25.309234Z,-42.822687,171.325072,8.276,NonLinLoc,0.69,NA,NA,NA,NA
2019-05-07T18:26:40.980000Z,-42.71851,171.724447,10.725,HypoDD,0.37,NA,NA,NA,NA
2019-05-07T20:23:12.800000Z,-42.682597,171.877897,10.679,HypoDD,0.56,NA,NA,NA,NA
2019-05-07T21:49:12.000000Z,-42.921167,171.766862,14.871,HypoDD,0.91,NA,NA,NA,NA
2019-05-07T21:49:12.040000Z,-42.921257,171.766943,14.845,HypoDD,0.91,NA,NA,NA,NA
2019-05-08T08:38:12.870000Z,-42.734298,171.711117,8.752,HypoDD,0.32,NA,NA,NA,NA
2019-05-08T16:25:05.802091Z,-42.764367,171.723797,6.152,NonLinLoc,0.22,NA,NA,NA,NA
2019-05-09T06:20:28.075956Z,-42.627003,171.543889,0.168,NonLinLoc,0.78,NA,NA,NA,NA
2019-05-09T09:07:18.030000Z,-42.643815,171.817285,10.12,HypoDD,1.66,34.51281,16.73838,130.0808,31.3527894813024
2019-05-09T11:39:12.830000Z,-42.935958,171.553613,9.595,HypoDD,0.52,NA,NA,NA,NA
2019-05-09T12:44:17.710000Z,-42.639807,171.828792,9.157,HypoDD,1.07,NA,NA,NA,NA
2019-05-09T21:14:05.020000Z,-42.824207,171.351188,4.471,HypoDD,1.56,101.5173,83.93536,-79.656,30.48880432083
2019-05-10T02:01:18.020000Z,-42.657983,171.880013,9.982,HypoDD,1.44,NA,NA,NA,NA
2019-05-10T08:23:20.750000Z,-42.762821,171.754476,7.381,HypoDD,1.02,48.50521,62.48111,112.2254,27.3060558396543
2019-05-10T09:43:50.980000Z,-42.949463,171.506836,12.572,HypoDD,0.95,NA,NA,NA,NA
2019-05-10T11:44:29.260000Z,-42.749715,171.398649,8.926,HypoDD,0.77,NA,NA,NA,NA
2019-05-10T20:20:54.860000Z,-42.745312,171.565658,7.346,HypoDD,0.27,NA,NA,NA,NA
2019-05-11T01:11:56.260000Z,-42.750472,171.745573,10.529,HypoDD,1.59,229.0583,71.385,-178.148,26.6844910131434
2019-05-11T01:28:39.840000Z,-42.718498,171.743701,6.271,HypoDD,0.58,190.8807,82.92637,-17.9096,26.9758975132303
2019-05-11T10:27:17.840000Z,-42.703345,171.466911,9.304,HypoDD,0.46,142.7756,85.80981,-49.8589,30.9254183078391
2019-05-11T11:38:35.220000Z,-42.706099,171.483057,5.591,HypoDD,0.26,NA,NA,NA,NA
2019-05-11T21:08:01.880000Z,-42.739901,171.724137,11.78,HypoDD,0.33,NA,NA,NA,NA
2019-05-11T22:36:31.000000Z,-42.898596,171.720182,7.6,HypoDD,0.68,NA,NA,NA,NA
2019-05-12T00:20:25.970000Z,-42.704472,171.662272,7.207,HypoDD,0.24,NA,NA,NA,NA
2019-05-12T01:15:20.870000Z,-42.744714,171.565739,7.241,HypoDD,0.39,NA,NA,NA,NA
2019-05-12T03:33:41.920000Z,-42.765841,171.672705,6.633,HypoDD,0.89,NA,NA,NA,NA
2019-05-12T05:52:04.240000Z,-42.751233,171.798454,8.394,HypoDD,0.62,NA,NA,NA,NA
2019-05-12T13:14:25.030000Z,-42.680802,171.860124,9.948,HypoDD,0.74,NA,NA,NA,NA
2019-05-12T17:10:46.720000Z,-42.679102,171.85861,11.231,HypoDD,0.87,NA,NA,NA,NA
2019-05-13T00:17:49.850000Z,-42.812,171.695833,5.55,HypoDD,0.34,NA,NA,NA,NA
2019-05-13T14:57:39.190000Z,-42.615503,171.938118,9.006,HypoDD,1.43,94.02188,69.06625,170.2453,29.5355243093273
2019-05-13T19:15:10.140000Z,-42.939543,171.556478,11.393,HypoDD,1.05,253.37,61.42615,163.5105,28.1917555318366
2019-05-13T19:25:12.760000Z,-42.74259,171.335384,8.272,HypoDD,0.75,NA,NA,NA,NA
2019-05-14T04:44:25.070000Z,-42.615548,171.934294,10.425,HypoDD,1.86,NA,NA,NA,NA
2019-05-14T18:56:36.100000Z,-42.842069,171.791374,7.838,HypoDD,2.34,340.9228,54.75165,20.08799,29.8143918347478
2019-05-15T05:55:32.670000Z,-42.742806,171.336572,8.67,HypoDD,1.17,NA,NA,NA,NA
2019-05-15T09:07:20.730000Z,-42.743115,171.33654,8.619,HypoDD,0.93,NA,NA,NA,NA
2019-05-15T10:06:42.030000Z,-42.665084,171.86875,13.085,HypoDD,0.73,NA,NA,NA,NA
2019-05-15T18:29:24.000000Z,-42.758439,171.672982,4.65,HypoDD,0.36,NA,NA,NA,NA
2019-05-16T03:51:08.020000Z,-42.626335,171.897721,9.759,HypoDD,1.2,NA,NA,NA,NA
2019-05-16T18:15:55.240000Z,-42.845601,171.786296,7.992,HypoDD,0.71,NA,NA,NA,NA
2019-05-16T19:44:29.160000Z,-42.704736,171.671289,7.248,HypoDD,0.74,NA,NA,NA,NA
2019-05-17T09:57:42.717475Z,-42.726484,171.687528,7.582,NonLinLoc,0.34,NA,NA,NA,NA
2019-05-17T17:44:15.840000Z,-42.743221,171.337012,8.651,HypoDD,1.33,NA,NA,NA,NA
2019-05-18T07:02:22.200000Z,-42.812528,171.675618,8.686,HypoDD,0.5,NA,NA,NA,NA
2019-05-18T16:31:07.564980Z,-42.746414,171.562605,5.393,NonLinLoc,0.07,NA,NA,NA,NA
2019-05-18T18:02:24.522421Z,-42.900172,171.277384,9.707,NonLinLoc,0.86,NA,NA,NA,NA
2019-05-19T04:50:50.722001Z,-42.712425,171.604954,-1.133,NonLinLoc,0.53,NA,NA,NA,NA
2019-05-19T15:20:14.040000Z,-42.612878,171.855599,12.229,HypoDD,0.8,NA,NA,NA,NA
2019-05-19T19:41:25.513397Z,-43.024145,171.480668,9.273,NonLinLoc,1.32,NA,NA,NA,NA
2019-05-20T07:13:24.040000Z,-42.907682,171.8271,12.65,HypoDD,2.26,174.8434,85.0092,-9.49539,31.3551524896556
2019-05-20T07:29:06.020000Z,-42.907951,171.827507,12.07,HypoDD,0.77,NA,NA,NA,NA
2019-05-20T10:07:32.440000Z,-42.702368,171.646305,4.191,HypoDD,0.31,NA,NA,NA,NA
2019-05-20T10:24:16.971694Z,-42.637031,171.897549,3.984,NonLinLoc,0.44,NA,NA,NA,NA
2019-05-20T10:45:52.900000Z,-42.748486,171.725212,9.2,HypoDD,0.72,NA,NA,NA,NA
2019-05-20T18:00:39.040000Z,-42.703918,171.66071,7.216,HypoDD,0.19,NA,NA,NA,NA
2019-05-20T19:44:58.960000Z,-42.876892,171.725358,15.904,HypoDD,1.14,NA,NA,NA,NA
2019-05-21T08:49:15.740000Z,-42.966618,171.501742,8.314,HypoDD,1.47,358.2384,89.7211,-5.93431,29.0386932908774
2019-05-22T06:17:41.780000Z,-42.676619,171.838184,12.27,HypoDD,0.51,NA,NA,NA,NA
2019-05-22T20:57:38.820000Z,-42.642822,171.84362,8.029,HypoDD,0.49,NA,NA,NA,NA
2019-05-23T04:45:04.240000Z,-42.720076,171.6868,7.138,HypoDD,0.28,NA,NA,NA,NA
2019-05-23T09:46:23.670000Z,-42.699569,171.730485,8.295,HypoDD,0.28,NA,NA,NA,NA
2019-05-23T21:07:15.800000Z,-42.75024,171.733285,7.556,HypoDD,1.22,NA,NA,NA,NA
2019-05-24T01:19:14.200000Z,-42.912118,171.827181,12.159,HypoDD,1.27,NA,NA,NA,NA
2019-05-24T05:51:34.320000Z,-42.760209,171.790918,6.741,HypoDD,0.66,NA,NA,NA,NA
2019-05-24T06:28:20.240000Z,-42.759041,171.795785,7.46,HypoDD,0.61,NA,NA,NA,NA
2019-05-24T08:43:19.230000Z,-42.759554,171.794775,7.048,HypoDD,0.86,NA,NA,NA,NA
2019-05-24T12:03:24.230000Z,-42.743294,171.792952,8.132,HypoDD,0.73,NA,NA,NA,NA
2019-05-24T21:37:10.880000Z,-42.749247,171.731917,7.467,HypoDD,0.45,NA,NA,NA,NA
2019-05-25T03:05:35.567154Z,-42.719584,171.725405,5.761,NonLinLoc,0.38,NA,NA,NA,NA
2019-05-25T06:23:24.280000Z,-42.777148,171.616748,7.35,HypoDD,0.36,NA,NA,NA,NA
2019-05-25T06:38:54.340000Z,-42.909379,171.55555,6.277,HypoDD,0.68,NA,NA,NA,NA
2019-05-25T08:43:14.060000Z,-42.659473,171.874593,9.734,HypoDD,0.71,NA,NA,NA,NA
2019-05-25T16:18:44.220000Z,-42.752897,171.74528,8.709,HypoDD,0.3,NA,NA,NA,NA
2019-05-25T19:42:37.739938Z,-42.730959,171.594594,-0.005,NonLinLoc,-0.05,NA,NA,NA,NA
2019-05-25T21:28:40.160000Z,-42.885799,171.780827,11.202,HypoDD,2.33,217.9957,75.96274,154.1524,27.7600439989653
2019-05-26T07:09:44.585968Z,-42.738248,171.713062,7.626,NonLinLoc,0.4,NA,NA,NA,NA
2019-05-26T17:11:24.160000Z,-42.788965,171.433154,7.862,HypoDD,0.58,NA,NA,NA,NA
2019-05-27T05:28:57.270000Z,-42.945687,171.847493,13.233,HypoDD,0.88,NA,NA,NA,NA
2019-05-27T12:08:02.140000Z,-42.885352,171.781299,11.385,HypoDD,1.28,227.3546,83.13607,-153.977,28.6389925451177
2019-05-27T14:19:50.860000Z,-42.820174,171.464876,3.818,HypoDD,0.42,NA,NA,NA,NA
2019-05-29T01:05:49.600000Z,-42.724166,171.831868,6.404,HypoDD,0.64,NA,NA,NA,NA
2019-05-31T12:41:13.020000Z,-42.657279,171.911719,10.58,HypoDD,1.21,NA,NA,NA,NA
2019-06-01T00:05:43.010000Z,-42.870459,171.614893,8.539,HypoDD,0.71,NA,NA,NA,NA
2019-06-01T03:18:56.850000Z,-42.987,171.768262,8.051,HypoDD,0.98,NA,NA,NA,NA
2019-06-01T05:51:06.370000Z,-42.737394,171.715413,8.282,HypoDD,0.34,NA,NA,NA,NA
2019-06-01T12:04:58.340000Z,-42.949935,171.519255,12.102,HypoDD,0.98,NA,NA,NA,NA
2019-06-01T15:17:00.940000Z,-42.920492,171.617057,7.614,HypoDD,1.01,NA,NA,NA,NA
2019-06-01T16:15:58.790000Z,-42.806462,171.627751,9.243,HypoDD,0.36,NA,NA,NA,NA
2019-06-01T17:29:58.920000Z,-42.76945,171.488558,6.092,HypoDD,0.49,NA,NA,NA,NA
2019-06-01T18:37:37.040000Z,-42.966821,171.951286,13.003,HypoDD,1.28,351.3434,88.48757,-4.25082,30.0200401173338
2019-06-01T20:42:04.080000Z,-42.749691,171.731868,7.521,HypoDD,1.35,92.34595,69.03599,-154.913,27.2057252041505
2019-06-01T22:58:08.160000Z,-42.703239,171.657926,7.202,HypoDD,0.68,9.469796,73.71643,0.764158,28.696630638865
2019-06-01T22:58:45.920000Z,-42.960677,171.515218,7.145,HypoDD,1.14,NA,NA,NA,NA
2019-06-02T03:26:46.070000Z,-42.744629,171.719645,9.717,HypoDD,0.39,NA,NA,NA,NA
2019-06-02T13:47:12.640000Z,-42.90225,171.543018,6.219,HypoDD,0.5,NA,NA,NA,NA
2019-06-02T20:11:05.400000Z,-42.913525,171.409635,14.83,HypoDD,0.32,NA,NA,NA,NA
2019-06-03T02:05:51.080000Z,-42.713603,171.576172,3.377,HypoDD,0.04,NA,NA,NA,NA
2019-06-03T02:27:37.951374Z,-42.869522,171.337604,6.889,NonLinLoc,0.71,NA,NA,NA,NA
2019-06-03T02:28:47.000000Z,-42.872567,171.755078,9.466,HypoDD,1.2,NA,NA,NA,NA
2019-06-03T09:44:33.030000Z,-42.909131,171.828011,12.69,HypoDD,1.11,NA,NA,NA,NA
2019-06-03T09:50:11.990000Z,-42.707922,171.680615,8.389,HypoDD,-0.11,NA,NA,NA,NA
2019-06-03T18:13:32.980000Z,-42.761405,171.483512,6.028,HypoDD,0.85,159.5943,76.61637,16.40345,28.1446107564792
2019-06-03T19:13:22.740000Z,-42.76165,171.482975,6.01,HypoDD,0.91,NA,NA,NA,NA
2019-06-03T22:34:04.980000Z,-42.760787,171.482373,5.861,HypoDD,1.47,56.97019,70.78279,162.9841,26.2100520633023
2019-06-03T23:47:05.960000Z,-42.946468,171.451872,8.322,HypoDD,2.28,88.57063,49.7543,-121.649,25.5267401494516
2019-06-04T00:46:48.100000Z,-42.942778,171.454346,7.888,HypoDD,1.79,225.761,18.38398,-117.31,29.4028019390858
2019-06-04T02:17:48.940000Z,-42.748254,171.728613,7.172,HypoDD,0.86,NA,NA,NA,NA
2019-06-04T07:50:02.200000Z,-42.918298,171.600667,7.814,HypoDD,0.56,NA,NA,NA,NA
2019-06-04T08:25:56.810000Z,-42.720524,171.731022,10.453,HypoDD,0.26,NA,NA,NA,NA
2019-06-04T09:47:08.020000Z,-42.859359,171.698796,11.53,HypoDD,0.61,NA,NA,NA,NA
2019-06-04T10:49:31.920000Z,-42.717936,171.801921,7.836,HypoDD,0.41,NA,NA,NA,NA
2019-06-04T12:07:16.910000Z,-42.761898,171.484863,6.104,HypoDD,0.15,NA,NA,NA,NA
2019-06-04T15:14:20.230000Z,-42.878442,171.603678,7.586,HypoDD,0.63,NA,NA,NA,NA
2019-06-04T16:34:31.365607Z,-42.672191,171.40834,5.653,NonLinLoc,0.75,336.2039,48.80994,97.90677,29.3821554516285
2019-06-04T16:38:12.940000Z,-42.687345,171.426058,7.456,HypoDD,0.64,141.246,59.33857,34.24831,29.3937830481531
2019-06-05T12:02:34.950000Z,-42.747856,171.709814,7.953,HypoDD,0.8,NA,NA,NA,NA
2019-06-05T14:50:56.877467Z,-42.664962,171.880142,8.666,NonLinLoc,0.51,NA,NA,NA,NA
2019-06-05T21:02:33.344049Z,-42.853821,171.675812,12.135,NonLinLoc,0.27,NA,NA,NA,NA
2019-06-05T21:13:59.898283Z,-42.727668,171.785081,-1.566,NonLinLoc,0.58,NA,NA,NA,NA
2019-06-06T01:19:34.789217Z,-42.720417,171.735637,7.149,NonLinLoc,0.5,NA,NA,NA,NA
2019-06-06T06:30:48.860000Z,-42.637764,171.880632,8.299,HypoDD,0.91,NA,NA,NA,NA
2019-06-07T08:13:46.550000Z,-42.763416,171.633626,8.215,HypoDD,0.24,NA,NA,NA,NA
2019-06-07T13:05:08.520000Z,-42.70837,171.793115,10.532,HypoDD,0.44,NA,NA,NA,NA
2019-06-07T15:40:05.050000Z,-42.655868,171.935824,10.722,HypoDD,0.8,NA,NA,NA,NA
2019-06-07T17:20:18.080000Z,-42.614868,171.937044,8.492,HypoDD,1.44,NA,NA,NA,NA
2019-06-07T17:35:05.679172Z,-42.669066,171.584478,0.515,NonLinLoc,0.36,NA,NA,NA,NA
2019-06-08T03:32:45.070000Z,-42.761625,171.483268,5.902,HypoDD,1.22,NA,NA,NA,NA
2019-06-08T11:56:18.901933Z,-42.755341,171.771633,0.428,NonLinLoc,0.19,NA,NA,NA,NA
2019-06-08T13:17:17.534082Z,-42.871393,171.657214,9.404,NonLinLoc,0.43,NA,NA,NA,NA
2019-06-08T21:04:43.880000Z,-42.747766,171.76167,6.164,HypoDD,0.39,NA,NA,NA,NA
2019-06-08T22:10:45.720000Z,-42.760775,171.482731,6.128,HypoDD,0.3,NA,NA,NA,NA
2019-06-09T01:14:00.610000Z,-42.760046,171.724674,1.353,HypoDD,1.38,55.8246,67.3326,144.1176,29.5097891683559
2019-06-09T01:26:13.930000Z,-43.02854,171.452409,11.493,HypoDD,1.29,NA,NA,NA,NA
2019-06-09T04:14:51.140000Z,-42.703007,171.657617,7.109,HypoDD,1,177.5553,71.79785,-20.8361,27.5396163214484
2019-06-09T04:32:18.530000Z,-42.762244,171.634993,7.89,HypoDD,0.45,NA,NA,NA,NA
2019-06-09T04:33:08.160000Z,-42.75037,171.718896,7.822,HypoDD,0.34,NA,NA,NA,NA
2019-06-09T12:47:57.472678Z,-42.736139,171.676308,8.016,NonLinLoc,-0.08,NA,NA,NA,NA
2019-06-09T19:03:27.100000Z,-42.720748,171.685465,7.114,HypoDD,0.68,NA,NA,NA,NA
2019-06-09T20:14:30.080000Z,-42.664087,171.928939,12.354,HypoDD,1.71,190.1873,76.07928,-6.32449,28.7492611840498
2019-06-09T21:39:59.760000Z,-42.71923,171.539176,4.502,HypoDD,0.38,NA,NA,NA,NA
2019-06-10T02:54:18.980000Z,-42.761552,171.483122,5.975,HypoDD,0.65,NA,NA,NA,NA
2019-06-10T02:56:57.790000Z,-42.76143,171.483333,6.021,HypoDD,0.35,NA,NA,NA,NA
2019-06-10T11:32:17.980000Z,-42.70022,171.318245,10.467,HypoDD,0.68,NA,NA,NA,NA
2019-06-10T14:49:48.890000Z,-42.760002,171.481885,6.119,HypoDD,0.3,NA,NA,NA,NA
2019-06-10T14:53:02.040000Z,-42.704879,171.975553,13.008,HypoDD,0.71,NA,NA,NA,NA
2019-06-10T15:08:29.660000Z,-42.760575,171.483577,6.103,HypoDD,0.06,NA,NA,NA,NA
2019-06-10T15:34:32.710000Z,-42.759627,171.481999,6.276,HypoDD,-0.03,NA,NA,NA,NA
2019-06-10T17:58:02.900000Z,-42.759587,171.481706,5.984,HypoDD,0.62,NA,NA,NA,NA
2019-06-10T18:24:44.520000Z,-42.76335,171.487907,6.563,HypoDD,-0.17,NA,NA,NA,NA
2019-06-10T23:33:58.980473Z,-42.806982,171.337828,2.856,NonLinLoc,1.4,NA,NA,NA,NA
2019-06-11T00:23:27.930000Z,-42.692875,171.351058,7.06,HypoDD,1.03,NA,NA,NA,NA
2019-06-11T01:13:08.030000Z,-42.865597,171.614665,6.759,HypoDD,0.82,NA,NA,NA,NA
2019-06-11T15:56:59.730000Z,-42.760303,171.482422,5.994,HypoDD,0.4,NA,NA,NA,NA
2019-06-11T18:58:26.700000Z,-42.762386,171.635238,8.041,HypoDD,1.42,175.7564,80.29943,16.8422,28.6756615616206
2019-06-11T20:24:51.920000Z,-42.693258,171.35153,7.019,HypoDD,0.83,NA,NA,NA,NA
2019-06-12T04:52:37.823492Z,-42.673582,171.885082,11.441,NonLinLoc,0.56,NA,NA,NA,NA
2019-06-12T08:35:46.050000Z,-42.761117,171.483219,5.97,HypoDD,0.03,NA,NA,NA,NA
2019-06-12T08:53:32.000000Z,-42.76119,171.482812,5.95,HypoDD,0.39,NA,NA,NA,NA
2019-06-12T09:00:57.950000Z,-42.761239,171.482682,6,HypoDD,0.4,NA,NA,NA,NA
2019-06-12T09:31:02.980000Z,-42.760185,171.482389,6.14,HypoDD,-0.07,NA,NA,NA,NA
2019-06-12T12:25:09.240000Z,-42.803052,171.643245,6.18,HypoDD,0.24,NA,NA,NA,NA
2019-06-12T18:59:08.040000Z,-42.650887,171.873291,10.428,HypoDD,1.53,189.428,74.17608,-7.45719,27.4162686993672
2019-06-12T22:45:50.759627Z,-42.768915,171.443941,4.461,NonLinLoc,0.46,NA,NA,NA,NA
2019-06-13T06:21:24.020000Z,-42.732389,171.654215,9.811,HypoDD,0.37,NA,NA,NA,NA
2019-06-13T16:20:50.110000Z,-42.608708,171.907585,11.68,HypoDD,0.64,NA,NA,NA,NA
2019-06-13T23:07:59.800000Z,-42.718368,171.697949,7.383,HypoDD,0.55,NA,NA,NA,NA
2019-06-14T00:03:52.940000Z,-42.72312,171.82251,8.664,HypoDD,0.4,NA,NA,NA,NA
2019-06-14T04:51:13.740000Z,-42.711536,171.757422,6.703,HypoDD,0.29,NA,NA,NA,NA
2019-06-14T09:21:02.700000Z,-42.747522,171.71569,5.981,HypoDD,0.11,NA,NA,NA,NA
2019-06-14T11:31:08.116761Z,-42.644799,171.776716,6.932,NonLinLoc,0.04,NA,NA,NA,NA
2019-06-14T12:48:09.540000Z,-42.69045,171.836165,9.321,HypoDD,0.31,NA,NA,NA,NA
2019-06-14T16:02:23.770000Z,-42.710429,171.758789,6.58,HypoDD,0.17,NA,NA,NA,NA
2019-06-14T21:21:06.060000Z,-42.682284,171.897135,9.809,HypoDD,1.06,234.413,35.56928,54.1209,31.4525352569845
2019-06-14T23:00:52.160000Z,-42.757642,171.932194,9.01,HypoDD,0.78,NA,NA,NA,NA
2019-06-15T01:04:18.410000Z,-42.933496,171.38916,5.398,HypoDD,1.11,340.037,35.84336,-15.6518,31.9009178237104
2019-06-15T01:09:28.160000Z,-42.878117,171.676709,9.704,HypoDD,0.34,NA,NA,NA,NA
2019-06-15T01:42:32.007066Z,-42.569328,171.607136,1.295,NonLinLoc,0.1,NA,NA,NA,NA
2019-06-15T05:05:29.790000Z,-42.709151,171.743717,7.105,HypoDD,0.29,NA,NA,NA,NA
2019-06-15T06:43:23.970000Z,-42.771167,171.650977,4.996,HypoDD,0.33,NA,NA,NA,NA
2019-06-15T12:01:50.160000Z,-42.969751,171.70485,12.05,HypoDD,1.2,179.6738,68.11189,-12.8311,30.6245912783617
2019-06-15T12:14:53.850000Z,-42.70789,171.748014,6.803,HypoDD,0.51,NA,NA,NA,NA
2019-06-15T14:13:58.662328Z,-42.797975,171.420302,4.049,NonLinLoc,0.32,NA,NA,NA,NA
2019-06-15T17:17:36.884968Z,-42.731548,171.237368,12.525,NonLinLoc,0.96,NA,NA,NA,NA
2019-06-15T22:16:32.080000Z,-42.721659,171.644922,7.826,HypoDD,0.48,NA,NA,NA,NA
2019-06-16T07:26:06.320880Z,-42.695185,171.595147,0.255,NonLinLoc,0.25,NA,NA,NA,NA
2019-06-16T12:24:16.880000Z,-42.774748,171.67806,3.857,HypoDD,0.42,NA,NA,NA,NA
2019-06-16T16:32:16.100000Z,-42.696346,171.982568,7.774,HypoDD,0.94,NA,NA,NA,NA
2019-06-17T07:27:07.609636Z,-42.844054,171.642301,10.227,NonLinLoc,0.38,NA,NA,NA,NA
2019-06-18T04:41:31.130000Z,-42.702865,171.658561,7.093,HypoDD,0.43,NA,NA,NA,NA
2019-06-18T07:46:58.930000Z,-42.769845,171.486979,6.165,HypoDD,0.64,256.7002,61.87192,176.2708,27.896513756262
2019-06-18T13:15:17.418813Z,-42.593005,171.609458,16.905,NonLinLoc,0.38,NA,NA,NA,NA
2019-06-19T04:28:19.070000Z,-42.966366,171.71403,10.555,HypoDD,1.12,NA,NA,NA,NA
2019-06-20T01:53:39.140000Z,-42.873547,171.677035,10.806,HypoDD,1.8,234.3964,66.54072,178.9244,27.3083996561457
2019-06-21T02:40:24.190000Z,-42.757564,171.795101,6.451,HypoDD,0.73,NA,NA,NA,NA
2019-06-22T00:33:55.020000Z,-42.81158,171.630029,5.837,HypoDD,1.2,344.2448,85.04686,22.69264,30.8107044301173
2019-06-22T02:27:37.050000Z,-42.892615,171.597754,9.612,HypoDD,0.25,NA,NA,NA,NA
